country,iso2,iso3,indicator_used,unit,cts_code,sector,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,Accommodation and food services,1301.105183,2811.418806,1603.107806,1614.508512,1613.531872,1942.147843,2246.857656,4229.766483,3094.024837,2788.628936,3148.868061,3378.188274
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,"Agriculture, forestry and fishing",3245.583872,3530.326166,3518.25272,4488.731332,4374.424171,6137.976302,6626.711734,11473.33832,11061.31273,8977.777843,10004.70655,9039.692899
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,"Arts, entertainment, recreation and other service activities",3525.155347,5722.910527,5399.948136,5872.268408,5199.938106,6164.920845,6816.337641,9725.633807,8243.923403,7998.600335,8419.433413,9460.922806
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,Basic metals,16.33313235,64.4528653,35.35751259,73.78639506,79.61708023,107.2469637,117.38065,143.359272,108.3465882,133.2943047,197.9913784,211.6446632
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,Chemicals and pharmaceutical products,592.2166644,980.393257,630.1491385,771.0895847,792.0231458,1079.533515,812.1809065,1861.437557,1485.729896,1190.717135,1417.574384,1248.794785
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,Coke and refined petroleum products,845.2051205,901.381817,876.7260854,961.837485,1070.598884,1389.820867,1054.294694,2858.560833,3191.745297,2484.301327,4095.04857,3057.412166
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,"Computer, electronic and optical products",399.0691518,776.2191717,328.107358,550.4049615,542.1149918,780.9137653,683.1381707,1007.3679,1314.252572,1537.172399,1598.810731,2323.717296
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,Construction,7752.876555,9794.252041,9693.902819,10487.53948,10563.62535,13179.52979,10997.09688,17592.82719,19447.53912,19013.03533,20968.67881,20697.96136
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,Education,2957.605744,3745.280501,3643.615442,4293.038591,3954.58475,5035.490966,5068.655428,7069.666556,6846.502065,6618.394768,6952.737832,6711.637955
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,Electrical equipment,1004.471209,808.7657438,606.932711,1008.933783,1046.134171,1344.035749,1222.928965,1976.998039,1962.276373,1959.136854,1974.961361,2078.853977
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,"Electricity, gas, water supply, sewerage, waste and remediation services",29700.43685,34976.03604,42811.34313,49880.19705,46490.58387,54056.95217,58717.40714,78546.09806,80568.90338,80235.10817,87076.35509,82085.75395
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,Fabricated metal products,84.96984214,111.111352,101.7884105,153.4644112,130.2099316,265.2714427,240.9075753,338.9964595,497.2308684,498.310022,445.8751905,622.1908879
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,Financial and insurance activities,1365.567777,1995.07409,1695.260808,1785.311236,1541.610112,1645.793733,1555.663283,1924.848213,1857.531564,1703.680441,1805.230322,1595.10186
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,"Food products, beverages and tobacco",8324.826744,10416.49352,9680.075166,11054.63746,9766.837857,12289.10648,12929.39098,19594.49284,18824.92833,16249.12684,18133.61409,17402.80196
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,Human health and social work,996.7938182,1923.692676,1892.061334,2055.473661,1643.650492,1907.183693,2109.161965,2340.550348,4158.774753,3907.333621,3700.635922,3358.682736
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,IT and other information services,63.54900818,105.0213672,93.2208832,104.5054973,100.0082038,133.841582,160.4542854,140.5137773,239.6513789,187.256004,181.2117053,262.0338565
Philippines,PH,PHL,CO2 emissions in output of domestic controlled enterprises,Metric tons of CO2,ECBIOD,"Machinery and equipment, nec",197.8704954,66.34314349,190.3542702,274.2912,271.9827711,432.7794103,388.8792248,173.4833588,739.5285798,841.494934,837.9794032,1195.338544
