country,iso2,iso3,indicator_used,unit,cts_code,industry,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,IT and other information services,25.28583993,21.57920549,31.01550775,50.9489237,63.84149697,83.96595353,107.3044602,87.0602266,78.67730901,63.95048994,57.15816737,48.14814815,40.61814277,40.32098668,44.95365398,40.61400704,38.00916443,32.6133547,32.56364713,35.31812025,32.59066129,36.57028598,41.76298548,43.45278781
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,Land transport and transport via pipelines,951.3147747,806.8557238,874.0586626,1069.300089,953.4710127,947.6393511,959.6151412,930.5381179,881.2773916,819.655573,715.2228102,572.6824315,550.8279669,447.2489625,469.02376,412.405182,351.3071895,319.6600305,306.4370612,303.2902211,349.8139131,365.3603123,362.0710961,354.6988901
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,Machinery and equipment n.e.c.,34.23094477,43.595911,53.66452009,76.12726918,77.61093302,88.1367883,158.6514626,203.5216099,253.6073459,274.8665217,268.8356164,136.3442693,153.8088894,115.0400754,88.36129954,56.25140629,31.92550715,12.30853392,11.65350252,11.80490836,14.86896723,14.86944626,15.61505986,13.19116192
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,"Manufacturing nec, repair and installation of machinery and equipment",100.5490979,96.84757881,105.3733883,141.9962024,121.5040621,116.5501166,141.9929424,130.4745284,129.8907017,126.8314017,119.295588,104.1666667,737.4314313,86.78332622,88.271758,80.89868802,83.47673269,69.93236588,71.72380258,61.24311751,48.9930783,93.39100251,54.42718704,88.84276602
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,"Mining and quarrying, energy producing products",4172.783738,4464.799791,4118.236473,5728.562218,4586.30137,6716.12542,4514.824798,4928.631402,4992.893401,3737.166324,3439.617991,1902.575874,2102.547211,1473.584906,1313.632223,1269.761184,789.6764253,785.6794595,623.5595391,702.3575639,599.6038653,402.1895707,424.1371582,429.865466
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,"Mining and quarrying, non-energy producing products",689.6879756,597.8318072,541.0057789,752.8957529,547.7547616,499.7094712,328.5477637,323.4432701,317.7888713,331.4977974,310.8907114,287.8835811,241.5394824,235.4064835,284.5504801,317.7257525,331.9884221,339.5706126,346.9380364,334.8152265,355.1420908,284.1964606,300.1204285,264.6657572
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,Mining support service activities,587.3925501,505.3598775,452.4180967,636.1829026,463.9175258,430.8797127,228.7581699,189.3287435,151.9337017,155.2393273,129.2596945,138.8888889,126.0192735,137.9310345,187.5977071,238.0952381,261.1044418,277.2227772,287.8194796,278.0229479,292.1052632,217.4444173,232.0281748,193.1818182
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,"Motor vehicles, trailers and semi-trailers",6.967600657,10.50478244,15.54280249,22.83278788,23.02025783,29.55123359,36.7220719,40.11767852,43.46714395,49.34464148,48.73814929,23.25581395,33.52377355,22.38835805,15.32027659,9.79946103,6.865559855,3.924426753,3.864485379,3.706082917,3.381642512,3.246452092,3.607584947,3.666954271
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,Other non-metallic mineral products,3491.572827,3248.882265,3545.668095,4526.343566,3381.223869,3386.814932,3486.767403,3049.468257,3539.018566,3307.317073,3134.013154,2809.888405,2455.472866,2617.960426,2167.839859,2329.955688,2038.075765,1647.555225,1692.451625,1623.993347,1698.613726,1874.614974,2058.306709,1326.023839
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,Other service activities,49.36098569,45.27447651,52.31068942,73.94479401,73.83003215,72.58097964,86.20689655,66.80717382,61.97011748,51.58539102,47.34961286,40.50482847,45.76730284,39.54184186,42.04491161,36.00027693,32.82095603,25.87704706,26.58557923,30.05767163,26.43859398,30.12186358,35.08693681,35.98426933
